momentum,low_vol,parkinson_vol,high52,liquidity,train_sharpe,test_sharpe,min_sharpe,train_return,test_return,train_dd,test_dd
0.5,0.2,0.0,0.2,0.1,1.789250217910648,1.702862627721173,1.702862627721173,0.40815060756459864,0.4283250094513358,-0.23760435721001116,-0.21281974512903856
0.5,0.3,0.0,0.2,0.0,1.7173817593508653,1.6939487027227143,1.6939487027227143,0.37910512087774784,0.3923068744805913,-0.2392437010031051,-0.19346915146060117
0.5,0.2,0.1,0.2,0.0,1.719786995255489,1.6937246605149026,1.6937246605149026,0.37510893055640393,0.3904607710592065,-0.218817753113832,-0.19546228083093087
0.8,0.0,0.0,0.1,0.1,2.087986739605933,1.6929848704804884,1.6929848704804884,0.5933497206074787,0.48687408978911884,-0.2619072848009485,-0.28347027739663255
0.7,0.0,0.0,0.3,0.0,2.074401540628802,1.6912075039359893,1.6912075039359893,0.6007541613311609,0.4830802688950402,-0.3025703468910117,-0.2775876113325144
0.6,0.0,0.1,0.2,0.1,2.0182651632951587,1.689109770027913,1.689109770027913,0.5592237436877117,0.4513921527881246,-0.26190698261573087,-0.2600806026001239
0.7,0.0,0.1,0.1,0.1,2.1067127182193133,1.6832643936572254,1.6832643936572254,0.5966133013279862,0.4566117675363659,-0.2619128589113532,-0.2727388064901949
0.5,0.4,0.1,0.0,0.0,1.7987691044988352,1.6775703018275496,1.6775703018275496,0.36039419890278634,0.32660827731283404,-0.249071987929533,-0.20087548424119883
0.5,0.3,0.0,0.1,0.1,1.6692503194938182,1.8112020422345476,1.6692503194938182,0.35542468129501437,0.43664068023390024,-0.2367424265644883,-0.1884372708393368
0.7,0.1,0.1,0.1,0.0,2.1161786710144654,1.6689477738677663,1.6689477738677663,0.5776919020207381,0.44071786124552403,-0.26190706506087,-0.26689161932946337
0.5,0.0,0.0,0.5,0.0,2.0040265122179077,1.6681397127652642,1.6681397127652642,0.5807272642413677,0.46052316795343184,-0.3025573555172911,-0.2369164135133125
0.6,0.1,0.1,0.2,0.0,2.1022460076333362,1.6599280092724775,1.6599280092724775,0.5352397836932441,0.4254569004165196,-0.2373300105699696,-0.24683180004291183
0.6,0.3,0.1,0.0,0.0,1.8954522508088234,1.6583784396583785,1.6583784396583785,0.42494511524060363,0.3826418185322018,-0.2238350225962068,-0.2109671203464326
0.6,0.3,0.0,0.1,0.0,2.0231050664800128,1.6563423749478852,1.6563423749478852,0.475103131073797,0.40799413830594977,-0.2445903853221324,-0.22878246623671628
0.4,0.1,0.0,0.2,0.3,1.7581293154290019,1.64680592763389,1.64680592763389,0.42343919691279575,0.42653891221006424,-0.24983837231613504,-0.20729660739845535
0.4,0.2,0.2,0.2,0.0,1.7324529519330152,1.6442732836058422,1.6442732836058422,0.3216309473207539,0.31019243916961536,-0.22760648672473238,-0.19277672914871002
0.9,0.1,0.0,0.0,0.0,2.1011295215638683,1.6442326971926626,1.6442326971926626,0.5991634897211238,0.44376807148904485,-0.2619074821361942,-0.28108685659067434
0.9,0.0,0.1,0.0,0.0,2.134930628407133,1.6442326971926626,1.6442326971926626,0.6109012869245856,0.44376807148904485,-0.26190051125156133,-0.28108685659067434
